Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
NMLBBL,665.00,-0.81,672.00,664.30,665.00,"10,727",,,N/A,N/A
NRIC,"1,289.50",-1.4,"1,308.00","1,255.90","1,308.00","266,627",,,N/A,N/A
NRM,507.90,-1.76,519.00,494.00,516.00,"90,028",,,N/A,N/A
NRN,"1,418.00",-2.74,"1,487.10","1,414.00","1,487.10","135,954",,,N/A,N/A
NSIF2,10.25,-0.29,10.45,10.09,10.09,"15,100",,,N/A,N/A
NTC,909.00,-0.66,929.90,905.00,929.90,"19,225",,,N/A,N/A
NUBL,685.00,-0.44,693.00,683.00,691.00,"11,019",,,N/A,N/A
NWCL,990.00,0.1,"1,008.70",977.00,"1,008.00","8,009",,,N/A,N/A
NYADI,587.00,1.21,597.00,570.00,570.90,"53,270",,,N/A,N/A
OHL,914.00,-1.3,958.90,905.00,923.00,"9,830",,,N/A,N/A
PBD84,"1,094.40",2.81,"1,094.40","1,052.00","1,058.50",120,,,N/A,N/A
PBD85,"1,020.60",-1.39,"1,020.60","1,020.60","1,020.60",50,,,N/A,N/A
PBD88,"1,096.00",0.09,"1,096.00","1,096.00","1,096.00",50,,,N/A,N/A
PBLD84,"1,095.00",-0.14,"1,109.90","1,095.00","1,095.00","1,155",,,N/A,N/A
PBLD87,"1,030.00",0.77,"1,030.00","1,023.20","1,023.20",200,,,N/A,N/A
PCBL,257.00,-0.77,259.90,256.00,257.70,"55,250",,,N/A,N/A
PFL,458.00,1.08,498.00,455.00,462.00,"90,426",,,N/A,N/A
PHCL,638.00,-7.33,674.80,630.00,674.80,"52,608",,,N/A,N/A
PMHPL,300.60,-2.4,310.00,300.00,310.00,"20,363",,,N/A,N/A
PMLI,588.50,-1.9,608.00,587.00,592.10,"25,084",,,N/A,N/A
PPCL,319.00,0.44,323.90,313.50,323.90,"31,012",,,N/A,N/A
PPL,526.60,-1.83,547.00,526.50,536.40,"15,259",,,N/A,N/A
PRIN,"1,000.00",-6.37,"1,046.70",990.10,"1,046.70","19,709",,,N/A,N/A
PROFL,553.00,-2.12,564.00,541.00,561.00,"35,065",,,N/A,N/A
PRSF,10.14,-2.97,10.26,10.11,10.25,"5,900",,,N/A,N/A
PRVU,218.00,-0.68,221.00,216.40,221.00,"109,120",,,N/A,N/A
PSF,10.12,-0.78,10.20,10.10,10.20,"13,050",,,N/A,N/A
RADHI,394.80,-0.73,398.90,390.00,391.30,"42,824",,,N/A,N/A
RAWA,872.00,-0.57,894.50,843.10,894.50,"4,138",,,N/A,N/A
RBBD83,"1,016.30",-1.31,"1,016.30","1,016.30","1,016.30",25,,,N/A,N/A
RBCL,"14,899.00",0.26,"14,950.00","14,730.00","14,860.00",130,,,N/A,N/A
RBCLPO,"11,270.10",-2,"11,271.10","11,270.10","11,271.10",70,,,N/A,N/A
RFPL,741.00,-3.77,775.00,737.10,770.00,"33,707",,,N/A,N/A
RHGCL,578.00,-1.37,609.00,570.00,586.00,"12,087",,,N/A,N/A
RHPL,399.00,-1.24,405.00,396.10,404.10,"37,141",,,N/A,N/A
RIDI,228.50,-1.08,233.50,226.80,231.00,"95,141",,,N/A,N/A
RLFL,534.00,-3.26,563.00,528.10,560.00,"51,533",,,N/A,N/A
RMF1,8.77,0.11,8.85,8.67,8.74,"10,700",,,N/A,N/A
RMF2,9.00,0,9.00,8.91,9.00,900,,,N/A,N/A
RNLI,575.00,0.88,577.00,566.30,577.00,"141,638",,,N/A,N/A
RSDC,731.00,4.43,731.00,688.00,700.00,"20,258",,,N/A,N/A
RURU,770.00,-0.96,793.00,762.00,793.00,"27,559",,,N/A,N/A
SADBL,421.00,-3.08,431.00,419.10,428.00,"47,073",,,N/A,N/A
SAGF,9.26,-0.96,9.35,9.20,9.35,500,,,N/A,N/A
SAHAS,507.00,-0.59,510.00,505.30,508.00,"133,850",,,N/A,N/A
SALICO,726.00,-0.41,735.00,717.00,718.00,"9,589",,,N/A,N/A
SAMAJ,"2,615.00",0.58,"2,652.00","2,562.70","2,600.00","1,318",,,N/A,N/A
SANIMA,304.00,-0.98,310.00,301.00,305.70,"69,086",,,N/A,N/A
SAPDBL,"1,169.90",-2.91,"1,210.00","1,142.00","1,205.10","60,860",,,N/A,N/A
SAPDBLP,698.00,0,698.00,698.00,698.00,"10,560",,,N/A,N/A
SARBTM,825.00,1.56,845.00,817.00,828.50,"61,683",,,N/A,N/A
SBCF,9.10,0,9.18,8.92,8.95,"66,983",,,N/A,N/A
SBD87,"1,022.00",-1.73,"1,022.00","1,022.00","1,022.00",25,,,N/A,N/A
SBI,417.00,0,418.90,410.00,414.10,"19,880",,,N/A,N/A
SBID83,"1,075.00",1.68,"1,075.00","1,055.70","1,055.70",45,,,N/A,N/A
SBID89,"1,039.00",-0.67,"1,040.10","1,039.00","1,040.10",25,,,N/A,N/A
SBL,290.00,-0.65,295.80,285.00,286.10,"31,716",,,N/A,N/A
SCB,653.00,-0.62,663.50,650.00,661.00,"34,978",,,N/A,N/A
SCBD,"1,070.00",0,"1,070.00","1,070.00","1,070.00",25,,,N/A,N/A
SDBD87,"1,060.80",1.88,"1,060.80","1,035.30","1,035.30",275,,,N/A,N/A
SEF,9.90,0,9.96,9.80,9.80,"349,800",,,N/A,N/A
SFCL,542.00,-2.31,561.00,535.20,561.00,"33,587",,,N/A,N/A
SFEF,9.24,-0.65,9.30,9.21,9.21,"1,900",,,N/A,N/A
SFMF,10.20,-0.2,10.20,10.20,10.20,500,,,N/A,N/A
SGHC,505.00,-1.98,516.00,502.00,505.10,"21,807",,,N/A,N/A
SGIC,672.10,-1.45,687.00,670.40,684.00,"36,899",,,N/A,N/A
SHEL,262.90,-0.23,266.00,255.90,263.00,"204,269",,,N/A,N/A
SHINE,430.50,-0.81,442.60,425.00,442.60,"51,435",,,N/A,N/A
SHIVM,537.00,-1.1,549.00,532.20,532.20,"60,616",,,N/A,N/A
SHL,490.00,0.1,496.00,480.00,495.00,"44,346",,,N/A,N/A
SHLB,"2,239.50",-2.21,"2,292.00","2,239.30","2,285.00","2,392",,,N/A,N/A
SHPC,473.90,-0.82,480.00,471.60,480.00,"44,632",,,N/A,N/A
SICL,793.10,-1.48,825.00,790.30,790.30,"21,138",,,N/A,N/A
SIFC,536.00,-1.29,543.00,529.00,541.00,"16,723",,,N/A,N/A
SIGS2,9.85,1.76,9.85,9.85,9.85,100,,,N/A,N/A
SIGS3,9.84,0.41,9.84,9.63,9.63,400,,,N/A,N/A
SIKLES,"1,170.00",-2.46,"1,223.00","1,131.00","1,175.60","3,314",,,N/A,N/A
SINDU,"1,072.10",-1.64,"1,100.00","1,033.00","1,090.00","74,455",,,N/A,N/A
SJCL,335.00,-1.9,341.00,335.00,340.00,"23,793",,,N/A,N/A
SJLIC,452.20,-1.27,459.90,450.00,455.00,"36,340",,,N/A,N/A
SKBBL,819.90,-0.13,830.00,815.00,830.00,"9,851",,,N/A,N/A
SLBBL,967.00,-1.43,"1,000.00",962.00,"1,000.00","9,080",,,N/A,N/A
